setID	setSize	setScore	setP	setQ	setName	setID.orig
582	43	14.9628866413595	0.000999000999000999	0.235597735597736	Staphylococcus aureus infection	172846
863	645	125.102796089448	0.000999000999000999	0.235597735597736	GPCR downstream signaling	119548
964	54	19.2015762363921	0.000999000999000999	0.235597735597736	Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell	106413
979	219	71.6108336342033	0.000999000999000999	0.235597735597736	Olfactory Signaling Pathway	106383
992	726	138.299652015313	0.000999000999000999	0.235597735597736	Signaling by GPCR	106356
1297	239	74.6829180809827	0.000999000999000999	0.235597735597736	Olfactory transduction	83087
962	15	6.83992361046211	0.001998001998002	0.403881832453261	Phosphorylation of CD3 and TCR zeta chains	106415
1306	77	18.7738014078964	0.002997002997003	0.424075924075924	Hematopoietic cell lineage	83078
1310	44	12.3976444416599	0.002997002997003	0.424075924075924	Antigen processing and presentation	83074
1315	113	23.4260536689699	0.002997002997003	0.424075924075924	Cell adhesion molecules (CAMs)	83069
574	10	5.44754685622049	0.003996003996004	0.514031423122332	Advanced glycosylation endproduct receptor signaling	187092
406	202	35.844940840451	0.004995004995005	0.543687082148621	GPCRs, Class A Rhodopsin-like	198886
561	52	13.6450203410499	0.004995004995005	0.543687082148621	Interferon gamma signaling	187106
289	37	10.1880896668855	0.00599400599400599	0.565434565434565	Defensins	530757
421	41	10.9907826367144	0.00599400599400599	0.565434565434565	Oxidative phosphorylation	198870
239	26	7.88071106116281	0.00699300699300699	0.618444055944056	Activation of Matrix Metalloproteinases	576264
648	50	12.2017444744332	0.00799200799200799	0.665217135805371	Respiratory electron transport	160962
1264	22	7.09922057676584	0.00899100899100899	0.706793206793207	Asthma	83120
564	129	24.3824333799765	0.00999000999000999	0.706793206793207	Interferon Signaling	187103
1146	63	14.3291571501195	0.00999000999000999	0.706793206793207	Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins.	105921
855	17	6.0821909856596	0.010989010989011	0.740450026164312	PD-1 signaling	119557
961	13	5.08750875346172	0.011988011988012	0.771047134683498	Translocation of ZAP-70 to Immunological synapse	106416
391	11	4.33643515970154	0.014985014985015	0.883491508491509	Irinotecan Pathway	198905
1225	14	5.04245722157623	0.014985014985015	0.883491508491509	Glucuronidation	105722
991	256	42.5869523713754	0.017982017982018	0.976047761762048	Class A/1 (Rhodopsin-like receptors)	106357
1066	57	12.4936978064999	0.017982017982018	0.976047761762048	Integrin cell surface interactions	106110
625	353	55.3171545295916	0.01998001998002	0.976047761762048	GPCR ligand binding	161020
200	28	7.62781218825922	0.020979020979021	0.976047761762048	Keratan sulfate/keratin metabolism	645301
258	11	3.97728995479782	0.020979020979021	0.976047761762048	purine nucleotides degradation II (aerobic)	545362
532	35	8.63104178137523	0.020979020979021	0.976047761762048	Retinoid metabolism and transport	187208
752	22	6.18324271029286	0.021978021978022	0.976047761762048	Signaling mediated by p38-alpha and p38-beta	138012
199	23	6.34571883558746	0.023976023976024	0.976047761762048	Keratan sulfate biosynthesis	645302
240	78	15.5574921160797	0.023976023976024	0.976047761762048	Degradation of the extracellular matrix	576263
310	94	18.0588329207443	0.023976023976024	0.976047761762048	The citric acid (TCA) cycle and respiratory electron transport	477137
568	11	3.82409203693136	0.024975024975025	0.976047761762048	NF-kB activation through FADD/RIP-1 pathway mediated by caspase-8 and -10	187099
780	32	8.24082483008743	0.025974025974026	0.976047761762048	FOXA1 transcription factor network	137979
980	28	7.43399258773322	0.025974025974026	0.976047761762048	Class C/3 (Metabotropic glutamate/pheromone receptors)	106381
350	24	6.4123716956328	0.027972027972028	0.976047761762048	Amyloids	366238
844	38	9.08493701562393	0.027972027972028	0.976047761762048	Intestinal immune network for IgA production	128760
1259	33	8.25803959368958	0.027972027972028	0.976047761762048	Primary immunodeficiency	83125
130	35	8.35912253605712	0.028971028971029	0.976047761762048	Collagen degradation	730309
669	38	8.94856141406507	0.028971028971029	0.976047761762048	Malaria	152665
16	34	8.29253142841042	0.030969030969031	1	O-glycosylation of TSR domain-containing proteins	980460
157	62	12.7263376218727	0.031968031968032	1	Chemical carcinogenesis	673221
356	16	4.78922159277942	0.032967032967033	1	Inflammasomes	366166
474	18	5.20451945612561	0.032967032967033	1	Tamoxifen metabolism	198804
1083	13	4.03094673681071	0.037962037962038	1	Common Pathway	106060
42	27	6.63012431129114	0.040959040959041	1	Amyotrophic lateral sclerosis (ALS)	920975
601	29	7.01008298938755	0.040959040959041	1	Transport of vitamins, nucleosides, and related molecules	161075
1311	63	12.3739246623821	0.040959040959041	1	Complement and coagulation cascades	83073
95	34	7.83663833485833	0.041958041958042	1	Binding and Uptake of Ligands by Scavenger Receptors	771599
293	10	3.26631862794306	0.042957042957043	1	Termination of O-glycan biosynthesis	530748
566	21	5.52620153346678	0.042957042957043	1	TRAF6 mediated NF-kB activation	187101
846	44	9.3870691262186	0.044955044955045	1	Viral myocarditis	125138
435	28	6.68896324311048	0.046953046953047	1	Statin Pathway	198852
762	32	7.27965368236495	0.046953046953047	1	IL23-mediated signaling events	138000
429	69	13.3016521398702	0.047952047952048	1	Electron Transport Chain	198860
274	14	3.9738523514706	0.04995004995005	1	retinol biosynthesis	545293
17	77	14.3312929551105	0.051948051948052	1	O-linked glycosylation	980459
241	230	36.3005298687788	0.051948051948052	1	Extracellular matrix organization	576262
1357	33	7.23731129424985	0.0529470529470529	1	Porphyrin and chlorophyll metabolism	83021
312	54	10.4746744320088	0.0549450549450549	1	Meiosis	477133
446	22	5.46786570643565	0.0549450549450549	1	Blood Clotting Cascade	198840
194	13	3.74360134700462	0.0579420579420579	1	HS-GAG degradation	645307
355	11	3.22570325471923	0.0589410589410589	1	The NLRP3 inflammasome	366167
990	155	25.2144463546493	0.0589410589410589	1	Peptide ligand-binding receptors	106358
461	18	4.68659042873623	0.0609390609390609	1	Glucuronidation	198821
1353	57	10.8201543543589	0.0609390609390609	1	Metabolism of xenobiotics by cytochrome P450	83031
985	12	3.39146087937001	0.0619380619380619	1	Eicosanoid ligand-binding receptors	106370
1050	16	4.25024064788283	0.0619380619380619	1	Chylomicron-mediated lipid transport	106157
49	21	5.16853852981504	0.0639360639360639	1	Laminin interactions	906029
248	19	4.84661191346673	0.0639360639360639	1	Regulation of Complement cascade	576254
43	16	4.19046113720355	0.0649350649350649	1	Vitamin B12 Metabolism	920974
367	139	22.7930769206877	0.0649350649350649	1	Influenza A	217173
1404	46	8.93267135517811	0.0699300699300699	1	Steroid hormone biosynthesis	82940
809	39	8.05881246713817	0.0719280719280719	1	amb2 Integrin signaling	137945
1085	30	6.54579986649089	0.0739260739260739	1	Formation of Fibrin Clot (Clotting Cascade)	106057
131	50	9.44151122732349	0.0759240759240759	1	Assembly of collagen fibrils and other multimeric structures	730306
861	192	29.8374714230116	0.0759240759240759	1	G alpha (i) signalling events	119550
989	48	9.22230646776875	0.0759240759240759	1	Chemokine receptors bind chemokines	106359
342	140	22.5890875365604	0.0769230769230769	1	Herpes simplex infection	377873
960	25	5.66132037399613	0.0769230769230769	1	Generation of second messenger molecules	106417
1409	19	4.68659042873623	0.0779220779220779	1	Ascorbate and aldarate metabolism	82932
508	64	11.5442957044328	0.0799200799200799	1	GPCRs, Other	198765
1412	24	5.43859175693412	0.0839160839160839	1	Pentose and glucuronate interconversions	82929
246	22	5.06346647489791	0.0849150849150849	1	ZBP1(DAI) mediated induction of type I IFNs	576256
1285	36	7.2646355980046	0.0859140859140859	1	Amyotrophic lateral sclerosis (ALS)	83099
76	16	3.93890189877322	0.0879120879120879	1	Scavenging by Class A Receptors	833814
1065	41	7.9972246811905	0.0879120879120879	1	Lipid digestion, mobilization, and transport	106111
245	18	4.30686374005945	0.0899100899100899	1	RIP-mediated NFkB activation via ZBP1	576258
1028	10	2.81034355573297	0.0919080919080919	1	Gamma-carboxylation, transport, and amino-terminal cleavage of proteins	106232
1260	28	5.79418142721855	0.0959040959040959	1	Graft-versus-host disease	83124
394	26	5.60327082622018	0.0969030969030969	1	Matrix Metalloproteinases	198900
1081	82	13.7388614427757	0.0969030969030969	1	Cell surface interactions at the vascular wall	106062
74	11	2.83694115851536	0.0989010989010989	1	DEx/H-box helicases activate type I IFN and inflammatory cytokines production	833822
1011	11	2.83432561450784	0.0989010989010989	1	Purine catabolism	106276
1361	26	5.43050721147761	0.101898101898102	1	Nicotinate and nicotinamide metabolism	83014
710	22	4.87491393650271	0.102897102897103	1	Syndecan-4-mediated signaling events	138064
155	15	3.59729742997554	0.103896103896104	1	STING mediated induction of host immune responses	685548
1026	15	3.59976205444849	0.103896103896104	1	Synthesis of glycosylphosphatidylinositol (GPI)	106238
1261	29	5.8436737476946	0.104895104895105	1	Allograft rejection	83123
1284	133	21.0834722544782	0.104895104895105	1	Huntington's disease	83100
1309	14	3.36240653097006	0.104895104895105	1	Renin-angiotensin system	83075
490	14	3.3472134169448	0.105894105894106	1	TCA Cycle	198787
1138	364	51.8889475445144	0.105894105894106	1	Generic Transcription Pathway	105938
1352	53	9.36181788217477	0.106893106893107	1	Drug metabolism - cytochrome P450	83032
247	53	9.35103028745854	0.107892107892108	1	Cytosolic sensors of pathogen-associated DNA	576255
1286	95	15.636443511872	0.107892107892108	1	Parkinson's disease	83098
1051	26	5.28650173726422	0.108891108891109	1	Lipoprotein metabolism	106156
569	13	3.12195272136463	0.111888111888112	1	TRAF3-dependent IRF activation pathway	187098
1316	78	12.9132943428059	0.111888111888112	1	ECM-receptor interaction	83068
976	892	120.192187139606	0.113886113886114	1	Immune System	106386
457	67	11.3040556133774	0.115884115884116	1	Selenium Pathway	198825
1296	41	7.47477640668641	0.115884115884116	1	Taste transduction	83088
45	30	5.8436737476946	0.116883116883117	1	Allograft Rejection	920963
452	19	4.22806716917951	0.117882117882118	1	Folate Metabolism	198833
148	14	3.21123685881924	0.118881118881119	1	Metabolism of Angiotensinogen to Angiotensins	685555
198	11	2.75083475646614	0.118881118881119	1	Keratan sulfate degradation	645303
412	46	8.20816023095064	0.118881118881119	1	Complement and Coagulation Cascades	198880
1027	23	4.87889578920505	0.118881118881119	1	Post-translational modification: synthesis of GPI-anchored proteins	106236
1031	38	7.11650022795882	0.11988011988012	1	Metabolism of non-coding RNA*	106228
1052	10	2.5640789619637	0.120879120879121	1	Androgen biosynthesis	106154
515	38	7.06544081487508	0.122877122877123	1	Fat digestion and absorption	194385
817	23	4.83789745304373	0.123876123876124	1	IL12 signaling mediated by STAT4	137936
963	49	8.55296575513343	0.124875124875125	1	TCR signaling	106414
1262	55	9.48050792075612	0.124875124875125	1	Systemic lupus erythematosus	83122
959	33	6.22673927759863	0.133866133866134	1	Downstream TCR signaling	106418
211	80	12.8308255182214	0.134865134865135	1	Collagen formation	645288
1289	33	6.21669309062688	0.136863136863137	1	Type I diabetes mellitus	83095
236	14	3.09482281765095	0.142857142857143	1	Pre-NOTCH Processing in Golgi	576268
141	14	3.08909471500735	0.143856143856144	1	Deregulation of Rab and Rab Effector Genes in Bladder Cancer	698757
966	29	5.38519241563763	0.147852147852148	1	Complement cascade	106405
288	30	5.58423163701428	0.14985014985015	1	Beta defensins	530759
381	34	6.21284434680173	0.150849150849151	1	Type II interferon signaling (IFNG)	198918
