setID	objID
82926	124
82926	125
82926	NA
82926	127
82926	128
82926	130
82926	131
82926	217
82926	218
82926	219
82926	220
82926	222
82926	223
82926	224
82926	226
82926	229
82926	230
82926	669
82926	1737
82926	1738
82926	2023
82926	2026
82926	2027
82926	2203
82926	2538
82926	2597
82926	2645
82926	2821
82926	3098
82926	3099
82926	3101
82926	3939
82926	3948
82926	5105
82926	5106
82926	5160
82926	5161
82926	5162
82926	5211
82926	5213
82926	5214
82926	5224
82926	5230
82926	5232
82926	5313
82926	5315
82926	7167
82926	8789
82926	10327
82926	26330
82926	55276
82926	55902
82926	57818
82926	80201
82926	83440
82926	84532
82926	92483
82926	92579
82926	130589
82926	160287
82927	47
82927	48
82927	NA
82927	1431
82927	1737
82927	1738
82927	1743
82927	2271
82927	3417
82927	3418
82927	3419
82927	3420
82927	3421
82927	4190
82927	4191
82927	4967
82927	5091
82927	5105
82927	5106
82927	5160
82927	5161
82927	5162
82927	6389
82927	6390
82927	6392
82927	8802
82927	8803
82927	55753
82928	226
82928	229
82928	230
82928	2203
82928	2539
82928	2821
82928	5211
82928	5213
82928	5214
82928	5226
82928	NA
82928	5631
82928	5634
82928	6888
82928	7086
82928	8277
82928	8789
82928	9104
82928	9563
82928	22934
82928	25796
82928	51071
82928	55276
82928	64080
82928	84076
82929	217
82929	219
82929	224
82929	231
82929	NA
82929	7358
82929	7360
82929	7363
82929	7364
82929	7365
82929	7366
82929	7367
82929	9365
82929	9942
82929	10720
82929	27294
82929	51084
82929	51181
82929	54575
82929	54577
82929	54579
82929	54600
82929	54658
82929	54659
82929	57016
82929	79799
82930	226
82930	229
82930	230
82930	231
82930	2203
82930	2762
82930	3098
82930	3099
82930	3101
82930	3795
82930	4351
82930	NA
82930	5208
82930	5209
82930	5210
82930	5211
82930	5213
82930	5214
82930	5372
82930	5373
82930	6652
82930	7167
82930	7264
82930	8789
82930	29925
82930	29926
82930	57016
82930	57103
82930	80201
82930	197258
82931	231
82931	2538
82931	2548
82931	2582
82931	2584
82931	2585
82931	2592
82931	2595
82931	2645
82931	2683
82931	2717
82931	2720
82931	3098
82931	3099
82931	3101
82931	3906
82931	3938
82931	5211
82931	5213
82931	5214
82931	NA
82931	6476
82931	7360
82931	8704
82931	8972
82931	55276
82931	57016
82931	57818
82931	80201
82931	92579
82931	130589
82932	217
82932	219
82932	223
82932	224
82932	NA
82932	7358
82932	7363
82932	7364
82932	7365
82932	7366
82932	7367
82932	9104
82932	10720
82932	54575
82932	54577
82932	54579
82932	54600
82932	54658
82932	54659
82932	55586
82932	79799
82933	31
82933	32
82933	2194
82933	27349
82933	54995
82933	55301
82934	1892
82934	3030
82934	3032
82934	3033
82934	5538
82934	6785
82934	9200
82934	9374
82934	9524
82934	10449
82934	10965
82934	11332
82934	51102
82934	51144
82934	54898
82934	60481
82934	64834
82934	79071
82934	79993
82934	83401
82934	122970
82934	201562
82935	30
82935	33
82935	34
82935	35
82935	36
82935	37
82935	38
82935	39
82935	51
82935	124
82935	125
82935	NA
82935	127
82935	128
82935	130
82935	131
82935	217
82935	219
82935	223
82935	224
82935	1374
82935	1375
82935	1376
82935	1579
82935	1632
82935	1892
82935	1962
82935	2180
82935	2181
82935	2182
82935	2639
82935	3030
82935	3032
82935	3033
82935	8310
82935	10449
82935	10455
82935	23205
82935	23305
82935	51703
82935	81616
82935	126129
82936	38
82936	39
82936	622
82936	3155
82936	3157
82936	3158
82936	5019
82936	56898
82936	NA
82937	1056
82937	1591
82937	1594
82937	1595
82937	1717
82937	1718
82937	2222
82937	3988
82937	4047
82937	6307
82937	6309
82937	6646
82937	6713
82937	7108
82937	8435
82937	NA
82937	10826
82937	50814
82937	51478
82937	120227
82938	570
82938	1109
82938	1581
82938	1582
82938	1593
82938	3295
82938	6342
82938	6718
82938	8309
82938	9023
82938	9420
82938	10005
82938	10858
82938	10998
82938	23600
82938	51302
82938	NA
82939	1728
82939	2677
82939	3242
82939	6898
82939	10229
82939	27235
82939	51004
82939	51805
82939	NA
82939	84274
82940	412
82940	1109
82940	1312
82940	1543
82940	1544
82940	1545
82940	1551
82940	1571
82940	1577
82940	1581
82940	1583
82940	1584
82940	1585
82940	1586
82940	1588
82940	1589
82940	1645
82940	3283
82940	3290
82940	3291
82940	3292
82940	3293
82940	3294
82940	6715
82940	NA
82940	6718
82940	6783
82940	6820
82940	7363
82940	7364
82940	7365
82940	7366
82940	7367
82940	7923
82940	8630
82940	8644
82940	9420
82940	10720
82940	51144
82940	51478
82940	54575
82940	54577
82940	54579
82940	54600
82940	54658
82940	54659
82940	79644
82940	79799
82942	479
82942	NA
82942	496
82942	506
82942	509
82942	514
82942	515
82942	516
82942	517
82942	518
82942	521
82942	522
82942	523
82942	525
82942	526
82942	527
82942	528
82942	533
82942	534
82942	535
82942	537
82942	539
82942	1327
82942	1329
82942	1337
82942	1339
82942	1340
82942	1345
82942	1346
82942	1347
82942	1349
82942	1350
82942	1351
82942	1352
82942	1353
82942	1355
82942	1537
82942	4694
82942	4695
82942	4696
82942	4697
82942	4698
82942	4700
82942	4701
82942	4702
82942	4704
82942	4705
82942	4706
82942	4707
82942	4708
82942	4709
82942	4710
82942	4711
82942	4712
82942	4713
82942	4714
82942	4715
82942	4716
82942	4717
82942	100532726
82942	4719
82942	4720
82942	4722
82942	4723
82942	4724
82942	4725
82942	4726
82942	4728
82942	4729
82942	4731
82942	5464
82942	6389
82942	6390
82942	6392
82942	7381
82942	7384
82942	7385
82942	7386
82942	7388
82942	8992
82942	9114
82942	9167
82942	9296
82942	9377
82942	9550
82942	9551
82942	10312
82942	10476
82942	10632
82942	10975
82942	23545
82942	27068
82942	27089
82942	50617
82942	51079
82942	51382
82942	51606
82942	54539
82942	55967
82942	64077
82942	84701
82942	90423
82942	126328
82942	127124
82942	170712
82942	245972
82942	245973
82942	374291
82944	100
82944	107
82944	108
82944	109
82944	111
82944	112
82944	113
82944	114
82944	115
82944	132
82944	158
82944	159
82944	203
82944	204
82944	205
82944	270
82944	271
82944	272
82944	318
82944	353
82944	471
82944	661
82944	953
82944	954
82944	955
82944	956
82944	957
82944	1633
82944	1716
82944	NA
82944	2618
82944	2766
82944	2977
82944	2982
82944	2983
82944	2984
82944	2986
82944	3000
82944	3251
82944	3614
82944	3704
82944	4832
82944	4833
82944	4860
82944	4881
82944	4882
82944	4907
82944	5136
82944	5137
82944	5138
82944	5139
82944	5140
82944	5141
82944	5142
82944	5143
82944	5144
82944	5145
82944	5146
82944	5147
82944	5149
82944	5150
82944	5151
82944	5152
82944	5153
82944	5167
82944	5169
82944	5198
82944	5313
82944	5315
82944	5422
82944	5424
82944	5425
82944	5426
82944	5427
82944	5430
82944	5431
82944	5432
82944	5433
82944	5434
82944	5435
82944	5436
82944	5437
82944	5438
82944	5441
82944	5471
82944	5557
82944	5631
82944	5634
82944	6240
82944	6241
82944	7498
82944	8382
82944	8622
82944	8654
82944	8833
82944	9060
82944	9061
82944	9533
82944	9583
82944	9615
82944	10201
82944	10606
82944	10621
82944	10623
82944	10714
82944	10846
82944	11164
82944	22978
82944	23649
82944	25885
82944	26289
82944	27115
82944	29922
82944	30833
82944	30834
82944	50484
82944	50940
82944	51082
82944	51251
82944	51292
82944	53343
82944	54107
82944	55276
82944	55703
82944	55718
82944	55811
82944	55821
82944	56655
82944	56985
82944	57804
82944	58497
82944	64425
82944	84172
82944	84265
82944	84284
82944	84618
82944	87178
82944	100526794
82944	115024
82944	122481
82944	122622
82944	124583
82944	131870
82944	158067
82944	171568
82944	196883
82944	221830
82944	374659
82944	377841
82944	646625
82945	9
82945	10
82945	1544
82945	1548
82945	7498
82946	318
82946	661
82946	790
82946	953
82946	955
82946	956
82946	957
82946	978
82946	1503
82946	1633
82946	1635
82946	1723
82946	1806
82946	1807
82946	1841
82946	1854
82946	NA
82946	3704
82946	4832
82946	4833
82946	4860
82946	4907
82946	5422
82946	5424
82946	5425
82946	5426
82946	5427
82946	5430
82946	5431
82946	5432
82946	5433
82946	5434
82946	5435
82946	5436
82946	5437
82946	5438
82946	5441
82946	5557
82946	6240
82946	6241
82946	7083
82946	7084
82946	7296
82946	7298
82946	7371
82946	7372
82946	7378
82946	8382
82946	9533
82946	9583
82946	10201
82946	10587
82946	10621
82946	10623
82946	10714
82946	22978
82946	23649
82946	25885
82946	29922
82946	30833
82946	30834
82946	50484
82946	50808
82946	51082
82946	51251
82946	51727
82946	51733
82946	54107
82946	54963
82946	55703
82946	55718
82946	56474
82946	56655
82946	57804
82946	64425
82946	79077
82946	83549
82946	84172
82946	84265
82946	84618
82946	87178
82946	100526794
82946	114112
82946	115024
82946	124583
82946	129607
82946	139596
82946	151531
82946	171568
82946	221830
82946	377841
82949	189
82949	211
82949	212
82949	275
82949	NA
82949	635
82949	669
82949	875
82949	1491
82949	1610
82949	1738
82949	1757
82949	2628
82949	2653
82949	2731
82949	4128
82949	4129
82949	5224
82949	5723
82949	6470
82949	8639
82949	10993
82949	23464
82949	26227
82949	27232
82949	29958
82949	51268
82949	55349
82949	63826
82949	64902
82949	113675
82949	132158
82952	18
82952	30
82952	34
82952	35
82952	36
82952	38
82952	39
82952	217
82952	219
82952	223
82952	224
82952	316
82952	NA
82952	549
82952	586
82952	587
82952	594
82952	1629
82952	1738
82952	1892
82952	1962
82952	3028
82952	3030
82952	3032
82952	3033
82952	3155
82952	3157
82952	3158
82952	3712
82952	4329
82952	4594
82952	5019
82952	5095
82952	5096
82952	10449
82952	11112
82952	26275
82952	27034
82952	56922
82952	64087
82952	84693
82952	259307
82954	586
82954	587
82954	10993
82954	113675
82955	NA
82955	51166
82956	38
82956	39
82956	217
82956	219
82956	223
82956	224
82956	NA
82956	1743
82956	1892
82956	1962
82956	2639
82956	3030
82956	3033
82956	4297
82956	4967
82956	5351
82956	5352
82956	6839
82956	7468
82956	8085
82956	8424
82956	8985
82956	9739
82956	9757
82956	9869
82956	10157
82956	10919
82956	23067
82956	23127
82956	29072
82956	51111
82956	51166
82956	51268
82956	54904
82956	55217
82956	55753
82956	55870
82956	55904
82956	58508
82956	64324
82956	79709
82956	79813
82956	80854
82956	83852
82956	84444
82956	84787
82956	85007
82956	123688
82956	387893
82957	26
82957	NA
82957	217
82957	219
82957	223
82957	224
82957	262
82957	383
82957	384
82957	435
82957	445
82957	1152
82957	1158
82957	1159
82957	1160
82957	1373
82957	1610
82957	2628
82957	2744
82957	2746
82957	2747
82957	2752
82957	2805
82957	2806
82957	4128
82957	4129
82957	4842
82957	4843
82957	4846
82957	4942
82957	4953
82957	5009
82957	5625
82957	5831
82957	5832
82957	6611
82957	6723
82957	8659
82957	8974
82957	27165
82957	51056
82957	54498
82957	55748
82957	58510
82957	65263
82957	79814
82957	84735
82957	112817
82957	112849
82957	113451
82957	162417
82957	283208
82958	26
82958	217
82958	218
82958	219
82958	220
82958	NA
82958	222
82958	223
82958	224
82958	443
82958	1644
82958	3034
82958	3067
82958	3176
82958	4128
82958	4129
82958	10841
82958	51409
82958	55748
82958	339175
82958	84735
82958	91703
82958	114049
82958	131669
82958	131965
82958	144193
82959	124
82959	125
82959	NA
82959	127
82959	128
82959	130
82959	131
82959	218
82959	220
82959	222
82959	316
82959	1312
82959	1621
82959	1638
82959	1644
82959	2184
82959	2805
82959	2806
82959	2954
82959	3081
82959	3242
82959	4128
82959	4129
82959	5409
82959	6898
82959	7054
82959	7173
82959	7299
82959	7306
82959	8639
82959	51409
82959	339175
82959	81889
82959	114049
82959	131965
82959	259307
82960	218
82960	220
82960	NA
82960	222
82960	1644
82960	2805
82960	2806
82960	3242
82960	4128
82960	4129
82960	5053
82960	6898
82960	8639
82960	9588
82960	10249
82960	259307
82964	15
82964	26
82964	38
82964	39
82964	217
82964	219
82964	223
82964	224
82964	316
82964	NA
82964	847
82964	883
82964	1543
82964	1544
82964	1545
82964	1644
82964	1892
82964	1962
82964	2639
82964	3030
82964	3033
82964	3620
82964	4128
82964	4129
82964	4967
82964	7166
82964	8564
82964	8942
82964	11185
82964	51166
82964	55753
82964	56267
